text,category,category_code,severity,risk,dialect
una persona me escribio diciendo que un tipo me hizo creer que era el unico que me entendia y me exploto sexualmente,grooming,CAT-03,severe,1,colombia
recibi un mensaje de un adulto exigio fotografias sin ropa bajo presion,solicitud_material,CAT-02,critical,1,neutral
recibi un mensaje de un adulto manifesto comentarios de indole pues sexual explicita bacano,contacto_inapropiado,CAT-01,critical,1,colombia
vi un mensaje de un tipo verbalizo contenido sexual agresivo man,contacto_inapropiado,CAT-01,critical,1,colombia
vi un mensaje de un desconocido me pregunto si podia enviarle una foto,solicitud_material,CAT-02,low,0,mexico
me contactaron por redes diciendo que mandame una foto en ropa interior,solicitud_material,CAT-02,high,1,neutral
un niño la chantajearon con fotos intimas posta,extorsion,CAT-05,critical,1,argentina
recibi un mensaje de un desconocido me amenazo con contar un secreto,extorsion,CAT-05,medium,0,neutral
recibi un mensaje de un adulto amenazo con divulgar entonces imagenes privadas,extorsion,CAT-05,high,1,colombia
un tipo me envio comentarios sexuales explicitos parce,contacto_inapropiado,CAT-01,high,1,colombia
vi un mensaje de alguien me dijo que tus viejos no entienden y me pidio fotos,grooming,CAT-03,high,1,neutral
un pues menor la chantajearon con fotos intimas,extorsion,CAT-05,critical,1,neutral
una persona me escribio todos los dias pidiendo confianza parce,grooming,CAT-03,low,0,colombia
entonces recibi un mensaje de una mujer amenazo con difundir fotos,extorsion,CAT-05,high,1,mexico
una persona me escribio diciendo que un tipo me saludo de una forma extraña,contacto_inapropiado,CAT-01,low,0,neutral
vi un mensaje de la verdad alguien me presiono para vernos a solas orale,cita_persona,CAT-04,critical,1,mexico
una persona me escribio diciendo que mandame dinero y mas fotos o publico todo,extorsion,CAT-05,severe,1,argentina
una mujer insistio en quedar solo a pesar de que le dije que no,cita_persona,CAT-04,critical,1,argentina
vi un mensaje de un desconocido me obligo a escuchar descripciones sexuales violentas,contacto_inapropiado,CAT-01,severe,1,mexico
alguien me dijo que recibi un mensaje de un tipo que no entendi bien,contacto_inapropiado,CAT-01,low,0,colombia
me contactaron por redes diciendo que pasame plata o difundo las fotos,extorsion,CAT-05,severe,1,neutral
recibi un mensaje de solo la verdad yo te entiendo pasame fotos,grooming,CAT-03,critical,1,mexico
alguien me dijo que un tipo me dijo que nos vieramos sin nadie mas,cita_persona,CAT-04,medium,0,colombia
alguien me dijo que un tipo me propuso quedar en un sitio apartado wey,cita_persona,CAT-04,high,1,mexico
un desconocido me controlo tu familia no entiende y me obligo a enviar fotos desnudas,grooming,CAT-03,severe,1,neutral
una persona me escribio entonces diciendo que mi amigo recibio amenazas sexuales de un hombre,contacto_inapropiado,CAT-01,severe,1,neutral
vi un mensaje de un hombre amenazo con difundir material intimo si no recibia mas wey,extorsion,CAT-05,severe,1,mexico
vi un mensaje entonces de un hombre me extorsiono exigiendo mas fotos o publicaria todo parcero,extorsion,CAT-05,severe,1,colombia
me contactaron por redes diciendo que una mujer me escribio todos los dias pidiendo confianza man,grooming,CAT-03,low,0,colombia
me contactaron por redes diciendo que un adulto me presiono para vernos a solas parcero,cita_persona,CAT-04,critical,1,colombia
bueno una persona mayor exigio mas imagenes so pena de publicarlas,extorsion,CAT-05,critical,1,neutral
vi un mensaje de tu familia no entiende yo si mandame fotos chido,grooming,CAT-03,severe,1,mexico
un adulto me exigio mas fotos o publicaria las que tenia copado,extorsion,CAT-05,critical,1,argentina
una persona me dijo entonces que tus viejos no entienden,grooming,CAT-03,medium,0,neutral
alguien la verdad me dijo que un adulto me hizo comentarios que me incomodaron,contacto_inapropiado,CAT-01,medium,0,colombia
recibi un mensaje de alguien me envio mensajes subidos de tono,contacto_inapropiado,CAT-01,high,1,argentina
vi un mensaje de mi hija recibio mensajes de una persona mayor con palabras sexuales agresivas posta,contacto_inapropiado,CAT-01,critical,1,argentina
alguien me dijo que un adulto me dijo que me haria daño de forma sexual,contacto_inapropiado,CAT-01,severe,1,mexico
vi un mensaje de mi hija fue extorsionado con fotos y amenazas de publicacion man,extorsion,CAT-05,severe,1,colombia
vi un mensaje de una persona mayor me saludo de una forma extraña bueno orale,contacto_inapropiado,CAT-01,low,0,mexico
una persona me escribio diciendo que un tipo me aislo de mis amigos y me pidio fotografias desnudas,grooming,CAT-03,critical,1,mexico
recibi un mensaje de un tipo me amenazo con hacerme cosas sexuales si no obedecia,contacto_inapropiado,CAT-01,severe,1,argentina
alguien me dijo que una persona mayor me extorsiono exigiendo mas fotos o publicaria todo,extorsion,CAT-05,severe,1,colombia
me contactaron por redes diciendo que un desconocido me propuso un juego secreto y me exigio imagenes,grooming,CAT-03,high,1,argentina
alguien me dijo que shh es secreto la verdad mandame fotos desnudas,grooming,CAT-03,severe,1,neutral
alguien me dijo que mi hijo recibio mensajes de un desconocido con contenido sexual,contacto_inapropiado,CAT-01,high,1,neutral
una persona mayor verbalizo contenido sexual ogresivo,contacto_inapropiado,CAT-01,critical,1,argentina
una persona me escribio diciendo que un tipo me envio comentarios entonces sexuales explicitos parce,contacto_inapropiado,CAT-01,high,1,colombia
una personi me escribio diciendo pues que pasame fotos sin ropa y no le digas a nadie,solicitud_material,CAT-02,severe,1,argentina
alguien me dijo que un desconocido me pidio que no le cuontes a tus papas chido,grooming,CAT-03,medium,0,mexico
mi sobrina la presionaron para quedar sola,cita_persona,CAT-04,critical,1,argentina
vi un mensaje de mandame fotos desnudas ya,solicitud_material,CAT-02,high,1,colombia
vi un mensaje de una persona la verdad me pregunto si queria verlo,cita_persona,CAT-04,low,0,colombia
recibi un mensaje de una persona mayor me propuso quedar en un sitio o sea apartado,cita_persona,CAT-04,high,1,neutral
un adulto me presiono para vernos a solas pibe,cita_persona,CAT-04,critical,1,argentina
alguien me dijo que mandame fotos en ropa interior o me chantajeo boliche,solicitud_material,CAT-02,severe,1,argentina
me contactaron por redes diciendo que una niña recibio un mensaje de alguien un poco incomodo orale,contacto_inapropiado,CAT-01,low,0,mexico
me contactaron por redes diciendo que un niño le pidieron una foto comun,solicitud_material,CAT-02,medium,0,colombia
recibi un mensaje de una persona mayor me envio mensajes subidos de tono,contacto_inapropiado,CAT-01,high,1,neutral
vi un mensaje de un tipo me dijo que yo si te entiendo y me pidio pues fotos boliche,grooming,CAT-03,high,1,argentina
bueno juguemos un juego secreto y mandame fotos parcero,grooming,CAT-03,high,1,colombia
vi un mensaje de un desconocido solicito fotografias desnudas de manera insistente,solicitud_material,CAT-02,high,1,argentina
recibi un mensaje de una persona me pidio una foto normal chevere,solicitud_material,CAT-02,medium,0,colombia
me contactaron por redes diciendo que una persona me saludo de una forma extraña,contacto_inapropiado,CAT-01,low,0,neutral
recibi un mensaje de una niña le dijeron que es nuestro secreto,grooming,CAT-03,medium,0,mexico
una persona me escribio diciendo que una persona me pidio una foto normal,solicitud_material,CAT-02,medium,0,neutral
la verdad una mujer me envio comentarios sexuales explicitos wey,contacto_inapropiado,CAT-01,high,1,mexico
una persona me escribio diciendo que alguien me escribio todos los dias pidiendo confianza,grooming,CAT-03,low,0,colombia
vi un mensaje de una persona mayor me dijo que pues nos vieramos en un lugar escondido chido,cita_persona,CAT-04,high,1,mexico
recibi un mensaje de la verdad un desconocido me hablo de forma inapropiada,contacto_inapropiado,CAT-01,medium,0,argentina
me contactaron por redes diciando que una niña recibio mensajes de una persona mayor con contenido sexual,contacto_inapropiado,CAT-01,high,1,argentina
alguien me dijo que una persona me pregunto si queria verlo,cita_persona,CAT-04,low,0,argentina
recibi un mensaje de un niño le dijeron que es solo para nosotros chevere,grooming,CAT-03,medium,0,colombia
recibi un mensaje de un hombre me dijo cosas sexuales sin que yo lo pidiera,contacto_inapropiado,CAT-01,high,1,neutral
vi un mensaje de enviame fotos intimas o publico todo,solicitud_material,CAT-02,severe,1,argentina
vi un mensaje de mandame fotos desnudas o te funo,solicitud_material,CAT-02,severe,1,argentina
o sea una persona me escribio diciendo que shh es secreto mandame fotos desnudas,grooming,CAT-03,severe,1,mexico
una persona me escribio diciendo que mandame fotos desnudas ya,solicitud_material,CAT-02,high,1,neutral
